,EU
2022-12-30,119.36913487700718
2023-01-02,119.84947148780864
2023-01-03,119.84947148780864
2023-01-04,119.83001391640707
2023-01-05,120.00119010755334
2023-01-06,119.64658632264896
2023-01-09,119.67598209214223
2023-01-10,119.71337877710626
2023-01-11,119.23112949183287
2023-01-12,119.16837664412463
2023-01-13,118.97919157735626
2023-01-16,119.05805242756054
2023-01-17,118.89086393085904
2023-01-18,119.17664882890631
2023-01-19,119.17664882890631
2023-01-20,119.17664882890631
2023-01-23,119.17664882890631
2023-01-24,119.15734514120682
2023-01-25,119.18806071047156
2023-01-26,119.01423887934904
2023-01-27,119.06205831007459
2023-01-30,118.80161087861079
2023-01-31,119.09408460180208
2023-02-01,119.09754875843682
2023-02-02,119.77832417735918
2023-02-03,119.45930430577792
2023-02-06,119.07445461483066
2023-02-07,118.91359842883598
2023-02-08,119.29369537553181
2023-02-09,119.27301858795386
2023-02-10,119.29424650918739
2023-02-13,119.27352378223459
2023-02-14,118.8627338436669
2023-02-15,119.25107008067788
2023-02-16,119.09844466411887
2023-02-17,118.90549527703409
2023-02-20,118.70200572347312
2023-02-21,118.6933204932043
2023-02-22,118.68617231843434
2023-02-23,118.69825375699392
2023-02-24,118.91152919040134
2023-02-27,118.89075727165732
2023-02-28,118.83798886823406
2023-03-01,118.81736268985247
2023-03-02,118.9500521032897
2023-03-03,118.81340312670592
2023-03-06,118.87925061617896
2023-03-07,119.47674024434369
2023-03-08,119.47674024434369
2023-03-09,119.47674024434369
2023-03-10,119.47674024434369
2023-03-13,119.45700067941318
2023-03-14,118.92562839222407
2023-03-15,118.29078002539748
2023-03-16,118.75514410851208
2023-03-17,118.41217976090776
2023-03-20,118.75299695270236
2023-03-21,118.80294094342676
2023-03-22,118.78325640415888
2023-03-23,119.39066145119894
2023-03-24,119.37128320219715
2023-03-27,119.57044302722626
2023-03-28,119.91404672671122
2023-03-29,119.7800525993147
2023-03-30,120.01048242372458
2023-03-31,119.99064474590276
2023-04-03,120.18985092129427
2023-04-04,120.75727481671123
2023-04-05,120.91768393782358
2023-04-06,120.91768393782358
2023-04-11,120.91768393782358
2023-04-12,120.89698980731217
2023-04-13,121.27705498488312
2023-04-14,121.27705498488312
2023-04-17,121.25653493800381
2023-04-18,120.82655322222777
2023-04-19,121.19829300128737
2023-04-20,121.29879747239416
2023-04-21,121.32371047016801
2023-04-24,121.34258719881304
2023-04-25,121.66107563241786
2023-04-26,121.44633975375582
2023-04-27,121.64527206739717
2023-04-28,121.62552191309788
2023-05-02,121.40796360140538
2023-05-03,121.27754329518052
2023-05-04,120.92056933584965
2023-05-05,121.20627732620525
2023-05-08,121.34095174396955
2023-05-09,121.20217462187412
2023-05-10,121.12631338974171
2023-05-11,121.03671336183848
2023-05-12,121.0985471123337
2023-05-15,121.01905021897119
2023-05-16,121.01905021897119
2023-05-17,121.01905021897119
2023-05-18,120.99788834976756
2023-05-19,120.98293537965692
2023-05-22,121.04218376243033
2023-05-23,121.04218376243033
2023-05-24,121.04218376243033
2023-05-25,121.04218376243033
2023-05-26,121.0208473351871
2023-05-29,120.91703680760897
2023-05-30,120.70148799663359
2023-05-31,120.45999627223922
2023-06-01,120.3094278979271
2023-06-02,120.72584748019928
2023-06-05,120.80585907480037
2023-06-06,120.72028930575513
2023-06-07,120.69848105750218
2023-06-08,120.53853648445809
2023-06-09,120.78289770159658
2023-06-12,120.76120752116017
2023-06-13,121.10815316619612
2023-06-14,120.92885825447422
2023-06-15,120.59265214538992
2023-06-16,120.53135471348064
2023-06-19,120.67263054841699
2023-06-20,121.01355193383318
2023-06-21,120.91727352751374
2023-06-22,121.39789171742382
2023-06-23,121.77156697118204
2023-06-26,122.10833578861329
2023-06-27,122.10833578861329
2023-06-28,122.08149779155777
2023-06-29,122.78172916768546
2023-06-30,122.78172916768546
2023-07-03,122.78172916768546
2023-07-04,122.7554371356106
2023-07-05,123.02428590396373
2023-07-06,122.33087035500563
2023-07-07,122.82204637727328
2023-07-10,122.79618243336093
2023-07-11,123.11343169480078
2023-07-12,122.86351076867241
2023-07-13,122.86351076867241
2023-07-14,122.86351076867241
2023-07-17,122.8373823869958
2023-07-18,122.75438735846976
2023-07-19,122.62114886428989
2023-07-20,122.95852358403165
2023-07-21,122.92468035819886
2023-07-24,122.75209850770783
2023-07-25,122.72498640329266
2023-07-26,122.9116298121905
2023-07-27,122.88386443815862
2023-07-28,123.16656762045413
2023-07-31,123.21551973396141
2023-08-01,123.21551973396141
2023-08-02,123.18678744038449
2023-08-03,123.56634710243415
2023-08-04,123.50827922615201
2023-08-07,123.76630306901535
2023-08-08,123.80938092484095
2023-08-09,123.80938092484095
2023-08-10,123.78099106080018
2023-08-11,123.64993204567219
2023-08-14,123.62132006360768
2023-08-15,123.47865710390191
2023-08-16,123.73378707566143
2023-08-17,123.73378707566143
2023-08-18,123.70523128233796
2023-08-21,123.90976323088742
2023-08-22,124.02770681605804
2023-08-23,123.44381927000201
2023-08-24,123.75424736494325
2023-08-25,123.91403822687694
2023-08-28,123.91403822687694
2023-08-29,123.88610651824976
2023-08-30,123.80496681892213
2023-08-31,123.37780254740022
2023-09-01,123.34763133856153
2023-09-04,123.75094913145779
2023-09-05,123.8047684133955
2023-09-06,123.52773898420818
2023-09-07,123.52773898420818
2023-09-08,123.498844240501
2023-09-11,123.62773625416477
2023-09-12,123.40014933857356
2023-09-13,123.30826912898641
2023-09-14,123.9925474900426
2023-09-15,123.96397659464166
2023-09-18,123.94195497156973
2023-09-19,123.91254880260287
2023-09-20,123.89862161514455
2023-09-21,123.82096401136388
2023-09-22,124.09616877528606
2023-09-25,124.5466777445374
2023-09-26,124.38238112633377
2023-09-27,124.34998401451314
2023-09-28,123.95795780331473
2023-09-29,124.74303386876973
2023-10-02,124.40424219290189
2023-10-03,124.40698158381885
2023-10-04,124.58728515368038
2023-10-05,124.30291105214796
2023-10-06,124.21540253413559
2023-10-09,123.92714741901337
2023-10-10,124.36282946616176
2023-10-11,124.91991795197694
2023-10-12,124.88607929823769
2023-10-13,125.06519828766534
2023-10-16,125.06519828766534
2023-10-17,125.06519828766534
2023-10-18,125.03167831231592
2023-10-19,125.3405515656365
2023-10-20,125.30752758417987
2023-10-23,125.3905797583976
2023-10-24,125.0242453744387
2023-10-25,124.91104939460746
2023-10-26,124.87844570813378
2023-10-27,124.81034036096624
2023-10-30,124.77776376834603
2023-10-31,124.80257699319223
2023-11-01,124.49906225085599
2023-11-02,124.79230004753524
2023-11-03,124.83813867812121
2023-11-06,124.94412375051557
2023-11-07,125.39445964587715
2023-11-08,125.36201922163599
2023-11-09,124.98271898120541
2023-11-10,124.56197969675478
2023-11-13,124.40401361774119
2023-11-14,124.69074143302403
2023-11-15,125.0247650976253
2023-11-16,124.99296667088342
2023-11-17,125.23954795191203
2023-11-20,125.23954795191203
2023-11-21,125.23954795191203
2023-11-22,125.20731557874451
2023-11-23,125.12500945475406
2023-11-24,125.16954036799422
2023-11-27,125.13777238588344
2023-11-28,124.88688221065975
2023-11-29,124.85477976933468
2023-11-30,124.60315884254993
2023-12-01,125.11133091983389
2023-12-04,125.86973281637266
2023-12-05,125.88692595563037
2023-12-06,125.88692595563037
2023-12-07,125.8569750019959
2023-12-08,125.9991114140634
2023-12-11,125.94463568670086
2023-12-12,126.02139571865443
2023-12-13,126.54275325176292
