,China
2022-03-16,116.16018472511354
2022-03-17,116.08655627651933
2022-03-18,115.94472224370675
2022-03-21,116.12688546315677
2022-03-22,116.488527308102
2022-03-23,116.9142177167926
2022-03-24,116.99924739929143
2022-03-25,116.90859768682414
2022-03-28,116.98684724482828
2022-03-29,116.85558031037336
2022-03-30,116.94186213880253
2022-03-31,116.83003455575991
2022-04-01,116.69569811227464
2022-04-06,116.70583984886966
2022-04-07,116.7070589194866
2022-04-08,116.5197315767404
2022-04-11,116.51276799764523
2022-04-12,116.91016236820717
2022-04-13,116.51135282965681
2022-04-14,116.57504764379401
2022-04-15,116.79764614143535
2022-04-18,117.15518109667728
2022-04-19,117.02247053572303
2022-04-20,117.03878053895949
2022-04-21,117.15538213391241
2022-04-22,117.14955407914607
2022-04-25,117.26579376234143
2022-04-26,117.14351303864521
2022-04-27,117.17095830017468
2022-04-28,117.2093739132942
2022-04-29,117.18987600622448
2022-05-05,117.35655788644506
2022-05-06,117.27405531482343
2022-05-09,117.26876305352431
2022-05-10,117.29598032911011
2022-05-11,117.29313812177038
2022-05-12,117.22107496298754
2022-05-13,117.23275298123843
2022-05-16,117.30214839060844
2022-05-17,117.28822359452278
2022-05-18,117.34550977246158
