,Brazil
2019-10-09,116.4196200624568
2019-10-10,116.65510605283333
2019-10-11,116.36193838035325
2019-10-14,116.87127349724055
2019-10-15,117.40832961344456
2019-10-16,117.01122181811907
2019-10-17,117.21126781429261
2019-10-18,116.95154595411394
2019-10-21,116.94451384922542
2019-10-22,117.16447859722223
2019-10-23,117.20602799113936
2019-10-24,117.09609650301887
2019-10-25,116.69698285253092
2019-10-28,117.33190551728624
2019-10-29,117.41067421146876
2019-10-30,122.21235865092382
2019-10-31,124.37733993729523
2019-11-01,124.4244122703586
2019-11-04,124.37798326515934
2019-11-05,124.43837216049687
2019-11-06,124.43311469892369
2019-11-07,124.46318725550292
2019-11-08,124.4493670652111
2019-11-11,124.4578780255279
2019-11-12,124.43753264234212
2019-11-13,124.44223916873204
2019-11-14,124.39594179717119
2019-11-15,124.39570782520563
2019-11-18,124.45709559206728
2019-11-19,124.46989950528857
2019-11-20,124.4075525763486
2019-11-21,124.47269389174689
2019-11-22,124.42572352218065
2019-11-25,124.43372960461643
2019-11-26,124.36242156768427
2019-11-27,124.35302561362273
2019-11-28,124.52789538643071
2019-11-29,124.4439366079648
2019-12-02,124.4459653334924
2019-12-03,124.37771979658959
2019-12-04,124.41767949114426
2019-12-05,124.31232015898914
2019-12-06,124.45906065801427
2019-12-09,124.24308207204207
2019-12-10,124.31237417190908
2019-12-11,124.1752277791766
2019-12-12,124.16947546924762
2019-12-13,124.12553087301912
2019-12-16,124.17643669733663
2019-12-17,124.1171686788442
2019-12-18,124.11101066660362
2019-12-19,124.14909677606528
2019-12-20,124.12952719927621
2019-12-23,124.1531976094885
2019-12-24,124.117184894201
2019-12-26,124.18709828035924
2019-12-27,124.17710976790018
2019-12-30,124.1833469520254
2019-12-31,124.16131584986891
2020-01-02,124.20652662488185
2020-01-03,124.18096712012894
2020-01-06,124.19731025535714
2020-01-07,124.20414192387636
2020-01-08,124.31822052422572
2020-01-09,124.29904742150899
2020-01-10,124.21295984104957
2020-01-13,124.15961349086464
2020-01-14,124.30631578086513
2020-01-15,124.2350550393377
2020-01-16,124.28445304482673
2020-01-17,124.27967814563115
2020-01-20,124.14643267306403
2020-01-21,124.13856310531312
2020-01-22,124.34731311072333
2020-01-23,124.14380830967573
2020-01-24,124.31645983001442
2020-01-27,124.23059624805397
2020-01-28,124.48186457456407
2020-01-29,124.73747724505107
2020-01-30,124.64004521448948
2020-01-31,124.69157979059598
2020-02-03,124.5236709896814
2020-02-04,124.52749448694603
2020-02-05,124.24223869456156
2020-02-06,124.04786180396337
2020-02-07,124.1071800548872
2020-02-10,124.2029147159185
2020-02-11,123.9547340428728
2020-02-12,124.05290883471022
2020-02-13,124.04970000346307
