,US,EU,Mexico,Chile,Brazil,India,China
2018-01-11,100.4728075641076,102.40678602782852,100.44284192242884,100.0,102.8086189580182,101.40805955857846,102.44531396128798
2018-01-12,100.42183502910513,102.38916587218596,100.5659783545169,100.0,102.75349319645753,101.40517287136856,102.44531396128798
2018-01-16,100.40412619375203,102.3854577286571,100.59788242429384,100.0,102.79065296303057,101.48002252709398,102.44531396128798
2018-01-17,100.35378544005808,102.39090952278748,100.58975432274993,100.0,102.81384062026386,101.31528782337766,102.4285600135208
2018-01-18,100.40369771323309,102.4104823632682,100.59773471377072,100.0,102.81583588350227,101.31528782337766,102.42579904255736
2018-01-19,100.36901679316507,102.4242990877012,100.54899566806004,100.0,102.80035109496195,101.4196489890815,102.4109466364824
2018-01-22,100.36770898148905,102.4293764139128,100.53373459523338,100.0,102.77351368175792,101.39474115394748,102.41350604707269
2018-01-23,100.4090892158392,102.42177931149216,100.61718655392636,100.0,102.87172301563972,101.3750264860926,102.41350604707269
2018-01-24,100.39520031175546,102.431489340314,100.6118921331608,100.0,102.98426637502908,101.3670470470388,102.42171055781438
2018-01-25,100.40085967468276,102.41973055645606,100.55488251522937,100.0,102.98426637502908,101.3670470470388,102.42549050211498
2018-01-26,100.340003632416,102.41446389275146,100.5452824026162,100.0,102.9202166661487,101.3670470470388,102.42549050211498
2018-01-29,100.34292951661874,102.41311995525592,100.49322605643842,100.0,102.98056296545366,101.4453184375682,102.42549050211498
2018-01-30,100.3136291472062,102.4101287703979,100.46927081662028,100.0,102.95545364277206,101.41941662435993,102.42549050211498
2018-01-31,100.25577406616296,102.39135843557484,100.52287093820556,100.0,103.0376577184228,101.68484721210824,102.42549050211498
2018-02-01,100.23464803246168,102.371615641913,100.58539957831782,100.0,103.06370377077656,101.7159145006956,102.41536176389944
2018-02-02,100.23143156108024,102.4035478927877,100.54105732361542,100.0,103.06848623067832,101.8265710784248,102.4130374060208
2018-02-05,100.51877609929193,102.36053178388596,100.54105732361542,100.0,103.04066148126157,101.80408977245796,102.40450281785162
2018-02-06,100.31196359089718,102.34606101413904,100.52979204949656,100.0,102.98098100837932,101.82566932526784,102.41064838115904
2018-02-07,100.31116687085154,102.3650601319622,100.5546450355248,100.0,103.01090814989648,101.7148434748079,102.41064838115904
2018-02-08,100.33157063992824,102.35080212504268,100.47093839267323,100.0,103.004845759107,101.70594953755884,102.39746901765146
2018-02-09,100.37281994884412,102.33630722049432,100.34782201915678,100.0,102.99509128950112,101.71663823003362,102.40050697308432
2018-02-12,100.33995032155715,102.321190216901,100.4178594236935,100.0,102.99509128950112,101.71022979523394,102.40050697308432
2018-02-13,100.3059997276201,102.31937990261652,100.37660248407522,100.0,102.99509128950112,101.71022979523394,102.40050697308432
2018-02-14,100.1592790746555,102.33814969942124,100.35464230882096,100.0,103.02240155554284,101.70989907220208,102.40050697308432
2018-02-15,100.10055040320944,102.35025353575315,100.31308282724729,100.0,103.08655155358517,101.69672867430832,102.40050697308432
2018-02-16,100.12237876057692,102.3507336432621,100.2432674832794,100.0,103.11238322457304,101.71098454485804,102.40050697308432
2018-02-20,100.0772780550936,102.36618888174172,100.26530297092862,100.0,103.2417537863272,101.7392660072978,102.40050697308432
2018-02-21,100.02704105119828,102.37361958799212,100.24692088510648,100.0,103.22568586911736,101.6859992898336,102.40050697308432
2018-02-22,100.05727444611904,102.36706897922872,100.22347802096814,100.0,103.2408374359355,101.70206163520037,102.40050697308432
2018-02-23,100.06358160776526,102.3660372267944,100.21154471343468,100.0,103.2421587443551,101.76565681946596,102.40050697308432
2018-02-26,100.11417456631982,102.38100654429635,100.20896556708448,100.0,103.1855122775195,101.78164514350964,102.40050697308432
2018-02-27,100.09129903768864,102.39031178572036,100.21296485573696,100.0,103.12827399205018,101.74492806395683,102.41238242967434
2018-02-28,100.04336042004856,102.39467194111502,100.23969980870088,100.0,103.18591500619544,102.13967837575537,102.44468868677144
